HR1	HR2
61.94	64.9
62.72	63.96
66.67	64.32
64.36	63.92
65.4	66.76
66.57	68.13
64.4	67.07
62.94	65.4
63.47	66.21
64.36	67.16
68.04	69.09
67.46	69.01
66.1	64.99
65.89	65.13
67.18	64.63
71.53	67.9
67.8	70.25
65.59	69.67
66.12	69.72
65.71	69.62
66.81	69.15
67.85	67.13
70.2	67.16
70.85	66.3
69.28	63.83
68.18	62.15
67.26	61.86
61.73	60.25
60.67	61.1
60.54	61.98
60.8	60.89
59.87	60.75
60.42	64.95
60.81	69.09
62.94	62.72
65.89	61.14
70.01	61.35
72.16	65.84
70.1	63.42
60.25	59.51
61.81	62.76
61.48	61.86
66.71	64.05
64.67	64.09
59.24	64.6
62.28	63.16
64.36	70.25
61.27	64.91
62.41	61.14
64.32	63.14
63.2	62.89
65.26	65.89
61.44	64.14
62.5	63.66
61.48	66.21
66.34	61.02
66.89	64.54
65.62	61.27
64.67	63.03
61.02	62.76
61.27	65.71
60.37	64.18
61.35	61.06
61.01	64.6
63.14	64.4
62.28	63.11
64.49	62.67
63.51	60.77
60.81	62.89
61.06	65.04
59.66	60.75
60.17	65.48
61.18	63.48
60.8	61.1
63.87	66.99
63.47	64.39
